reference,clip_id,clip_voyage_id,clip_image_filename,clip_scale,clip_rotation,clip_translation_x,clip_translation_y,clip_clip_x1,clip_clip_y1,clip_clip_width,clip_clip_height,image_path,pixel_x,pixel_y,pixel_width,pixel_height
829/4,1751,39643,E 190_829_4 Southampton Customer and Controller Coastal 1676 (25).JPG,0.6818902260,0.00,-368,-561,195,310,1122,131,829_4/E 190_829_4 Southampton Customer and Controller Coastal 1676 (25).JPG,30.9,727.5,1645.4,192.1
829/4,1752,39644,E 190_829_4 Southampton Customer and Controller Coastal 1676 (25).JPG,0.6818902260,0.00,-1366,-854,320,128,1122,131,829_4/E 190_829_4 Southampton Customer and Controller Coastal 1676 (25).JPG,1677.8,890.3,1645.4,192.1
829/4,1753,39645,E 190_829_4 Southampton Customer and Controller Coastal 1676 (26).JPG,0.6869308102,0.00,-1298,-1101,355,170,1183,118,829_4/E 190_829_4 Southampton Customer and Controller Coastal 1676 (26).JPG,1635.7,1312.2,1722.2,171.8
829/4,1754,39646,E 190_829_4 Southampton Customer and Controller Coastal 1676 (26).JPG,0.6869308102,0.00,-1298,-1101,354,260,1183,118,829_4/E 190_829_4 Southampton Customer and Controller Coastal 1676 (26).JPG,1634.2,1443.3,1722.2,171.8
829/4,1755,39647,E 190_829_4 Southampton Customer and Controller Coastal 1676 (26).JPG,0.6869308102,0.00,-1298,-1101,350,361,1183,118,829_4/E 190_829_4 Southampton Customer and Controller Coastal 1676 (26).JPG,1628.4,1590.3,1722.2,171.8
829/4,1756,39648,E 190_829_4 Southampton Customer and Controller Coastal 1676 (27).JPG,0.5609114812,0.00,-1186,-1230,494,256,969,110,829_4/E 190_829_4 Southampton Customer and Controller Coastal 1676 (27).JPG,1655.3,1716.5,1727.5,196.1
829/4,1757,39649,E 190_829_4 Southampton Customer and Controller Coastal 1676 (31).JPG,0.6781085814,0.00,-1221,-322,481,243,1137,127,829_4/E 190_829_4 Southampton Customer and Controller Coastal 1676 (31).JPG,1696.8,271.2,1676.7,187.3
829/4,1758,39650,E 190_829_4 Southampton Customer and Controller Coastal 1676 (32).JPG,0.6765288294,0.00,-1246,-755,465,261,1152,187,829_4/E 190_829_4 Southampton Customer and Controller Coastal 1676 (32).JPG,1708.1,943.8,1702.8,276.4
829/4,1759,39651,E 190_829_4 Southampton Customer and Controller Coastal 1676 (35).JPG,0.7106064597,0.00,-453,-143,99,255,1338,190,829_4/E 190_829_4 Southampton Customer and Controller Coastal 1676 (35).JPG,10.8,31.5,1882.9,267.4
830/13,735,38621,E 190_830_13 Southampton Controller Overseas 1679 (4).JPG,0.6459264706,0.00,-692,-1518,380,459,1110,289,830_13/E 190_830_13 Southampton Controller Overseas 1679 (4).JPG,466.8,2166.1,1718.5,447.4
830/13,736,38622,E 190_830_13 Southampton Controller Overseas 1679 (10).JPG,0.6459264706,-3.00,-1729,-1433,459,340,1122,278,830_13/E 190_830_13 Southampton Controller Overseas 1679 (10).JPG,2194.6,1850.3,1737.0,430.4
831/4,181,38019,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (3).JPG,1.0298683297,3.00,-1882,-1392,234,438,1683,212,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (3).JPG,2117.7,1824.3,1634.2,205.9
831/4,182,38020,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (3).JPG,1.0298683297,3.00,-1889,-1589,234,438,1683,253,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (3).JPG,2124.5,2015.5,1634.2,245.7
831/4,183,38021,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (3).JPG,1.0298683297,0.00,-1904,-1774,234,438,1683,232,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (3).JPG,2139.1,2195.2,1634.2,225.3
831/4,184,38022,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (4).JPG,0.8597281324,-3.00,-1901,-1426,338,482,1452,317,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (4).JPG,2249.3,1953.0,1688.9,368.7
831/4,185,38023,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (4).JPG,0.8597281324,-3.00,-1917,-1630,338,482,1511,349,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (4).JPG,2267.9,2190.3,1757.5,405.9
831/4,186,38024,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (6).JPG,0.7105191176,0.00,-968,-1585,71,210,1195,151,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (6).JPG,575.8,1861.4,1681.9,212.5
831/4,187,38025,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (6).JPG,0.7105191176,6.00,-2252,-1089,13,42,1195,151,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (6).JPG,2301.3,926.9,1681.9,212.5
831/4,188,38026,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (6).JPG,0.7105191176,6.00,-2185,-1639,13,42,1245,200,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (6).JPG,2207.0,1701.0,1752.2,281.5
831/4,189,38027,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (7).JPG,0.7507740124,6.00,-1783,-745,416,411,1253,153,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (7).JPG,2206.6,998.0,1668.9,203.8
831/4,190,38028,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (8).JPG,0.7583575883,6.00,-1991,-596,248,183,1214,252,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (8).JPG,2259.1,507.2,1600.8,332.3
831/4,191,38030,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (21).JPG,0.6756966111,3.00,-828,-1479,183,346,1199,175,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (21).JPG,451.9,1917.6,1774.5,259.0
831/4,193,38031,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (25).JPG,0.8341933471,3.00,-711,-1644,7,255,1303,157,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (25).JPG,428.2,1952.1,1562.0,188.2
831/4,194,38032,E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (25).JPG,0.8341933471,3.00,-714,-1783,7,255,1389,181,831_4/E 190_831_4 Southampton 25 Dec 1680 - 25 Dec 1681 (25).JPG,431.8,2118.7,1665.1,217.0
