reference,clip_id,clip_voyage_id,clip_image_filename,clip_scale,clip_rotation,clip_translation_x,clip_translation_y,clip_clip_x1,clip_clip_y1,clip_clip_width,clip_clip_height,image_path,pixel_x,pixel_y,pixel_width,pixel_height
835/1,226,38066,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (3).JPG,0.7432662723,0.00,-2054,-1273,159,495,1359,91,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (3).JPG,2225.8,1815.0,1828.4,122.4
835/1,227,38067,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (5).JPG,0.7737553191,3.00,-607,-1378,129,305,1387,134,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (5).JPG,314.9,1697.9,1792.6,173.2
835/1,228,38068,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (5).JPG,0.7737553191,3.00,-606,-1459,129,305,1385,144,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (5).JPG,313.7,1802.6,1790.0,186.1
835/1,229,38069,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (9).JPG,0.7034139265,0.00,-1871,-1755,298,401,1273,95,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (9).JPG,2166.0,2376.9,1809.7,135.1
835/1,230,38070,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (17).JPG,0.6963797872,0.00,-776,-1906,127,413,1209,97,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (17).JPG,348.0,2618.5,1736.1,139.3
835/1,231,38071,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (17).JPG,0.5584269514,3.00,-1728,-869,469,220,992,80,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (17).JPG,2213.6,659.6,1776.4,143.3
835/1,232,38072,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (18).JPG,0.5338235294,0.00,-901,-1462,286,375,942,149,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (18).JPG,323.3,2016.0,1764.6,279.1
835/1,233,38073,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (19).JPG,0.6459264706,0.00,-788,-1259,213,491,1125,88,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (19).JPG,356.9,1814.7,1741.7,136.2
835/1,234,38074,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (22).JPG,0.6894159893,3.00,-716,-1520,90,477,1311,245,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (22).JPG,188.8,2161.4,1901.6,355.4
835/1,235,38075,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (24).JPG,0.9268814968,3.00,-499,-798,49,325,1662,122,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (24).JPG,419.6,1082.8,1793.1,131.6
835/1,236,38076,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (24).JPG,0.8258514136,3.00,-645,-1135,77,411,1463,173,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (24).JPG,415.4,1527.9,1771.5,209.5
835/1,237,38076,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (24).JPG,0.9992802105,3.00,-569,-1417,77,411,1463,173,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (24).JPG,644.9,1828.1,1464.1,173.1
835/1,238,38077,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (26).JPG,0.8426195425,0.00,-369,-977,282,409,1477,124,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (26).JPG,366.2,1340.1,1752.9,147.2
835/1,239,38078,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (26).JPG,0.8426195425,0.00,-607,-1972,74,232,1478,100,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (26).JPG,401.8,2310.8,1754.1,118.7
835/1,240,38079,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (28).JPG,0.7737553191,0.00,-593,-411,163,409,1375,139,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (28).JPG,340.8,582.6,1777.0,179.6
835/1,241,38080,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (31).JPG,0.8426195425,0.00,-524,-659,175,457,1478,134,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (31).JPG,423.1,1019.6,1754.1,159.0
835/1,242,38081,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (31).JPG,0.8426195425,3.00,-426,-1882,260,400,1466,101,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (31).JPG,407.7,2403.4,1739.8,119.9
835/1,243,38082,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (31).JPG,0.8426195425,3.00,-426,-1882,263,472,1466,101,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (31).JPG,411.3,2488.9,1739.8,119.9
835/1,244,38083,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (37).JPG,0.5872058824,0.00,-720,-961,373,440,1053,106,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (37).JPG,331.7,1238.6,1793.2,180.5
835/1,245,38084,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (38).JPG,0.6330725338,3.00,-873,-1789,84,373,1158,104,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (38).JPG,250.5,2469.2,1829.2,164.3
835/1,246,38085,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (44).JPG,0.6459264706,0.00,-1807,-857,344,344,1179,156,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (44).JPG,2137.3,964.7,1825.3,241.5
835/1,247,38086,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (44).JPG,0.6459264706,0.00,-1807,-857,338,456,1179,156,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (44).JPG,2128.0,1138.1,1825.3,241.5
835/1,248,38087,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (52).JPG,0.7105191176,0.00,-1804,-955,354,428,1322,121,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (52).JPG,2150.7,1281.6,1860.6,170.3
835/1,249,38088,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (53).JPG,0.5872058824,0.00,-1591,-1208,568,310,1098,109,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (53).JPG,2147.0,1437.9,1869.9,185.6
835/1,250,38089,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (53).JPG,0.7432662723,-3.00,-1946,-1518,250,315,1366,347,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (53).JPG,2202.9,1902.4,1837.8,466.9
835/1,251,38090,E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (58).JPG,0.6459264706,0.00,-790,-1608,314,477,1103,144,835_1/E 190_835_1 Southampton 25 Dec 1686 - 25 Dec 1687 (58).JPG,516.4,2333.3,1707.6,222.9
835/6,1768,39659,E 190_835_6 Southampton 25 Dec 1686 - 25 Dec 1687 (5).JPG,1.1442981442,0.00,-276,-505,3,291,1799,167,835_6/E 190_835_6 Southampton 25 Dec 1686 - 25 Dec 1687 (5).JPG,518.2,901.4,1572.1,145.9
835/6,1769,39660,E 190_835_6 Southampton 25 Dec 1686 - 25 Dec 1687 (5).JPG,1.1442981442,0.00,-277,-1329,3,460,1797,165,835_6/E 190_835_6 Southampton 25 Dec 1686 - 25 Dec 1687 (5).JPG,519.1,1769.2,1570.4,144.2
835/7,252,38091,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (3).JPG,0.5338235294,-3.00,-1583,-993,650,188,980,89,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (3).JPG,2282.8,787.2,1835.8,166.7
835/7,253,38092,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (4).JPG,0.5872058824,-3.00,-1527,-1659,748,312,1010,119,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (4).JPG,2344.6,2209.3,1720.0,202.7
835/7,254,38093,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (6).JPG,0.6459264706,3.00,-613,-1711,382,507,1166,123,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (6).JPG,347.6,2539.2,1805.2,190.4
835/7,255,38094,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (6).JPG,0.6459264706,0.00,-1782,-684,469,250,1223,122,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (6).JPG,2292.1,551.4,1893.4,188.9
835/7,256,38095,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (9).JPG,0.5872058824,3.00,-743,-852,328,384,1065,101,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (9).JPG,294.2,957.6,1813.7,172.0
835/7,257,38096,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (9).JPG,0.8258514136,-3.00,-1910,-348,328,430,1459,203,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (9).JPG,2251.1,597.9,1766.7,245.8
835/7,258,38097,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (12).JPG,0.6459264706,-3.00,-1641,-839,530,312,1208,107,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (12).JPG,2168.3,887.3,1870.2,165.7
835/7,259,38098,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (12).JPG,0.6459264706,-6.00,-1828,-1616,399,511,1221,129,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (12).JPG,2255.0,2398.3,1890.3,199.7
835/7,260,38099,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (16).JPG,0.6459264706,-6.00,-1863,-1676,341,478,1177,102,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (16).JPG,2219.3,2440.1,1822.2,157.9
835/7,261,38100,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (17).JPG,0.5338235294,0.00,-1637,-884,591,250,1011,97,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (17).JPG,2273.4,699.1,1893.9,181.7
835/7,262,38101,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (17).JPG,0.5338235294,0.00,-1548,-959,687,265,1003,82,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (17).JPG,2286.5,867.7,1878.9,153.6
835/7,263,38102,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (21).JPG,0.6459264706,-6.00,-1691,-1361,508,382,1148,117,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (21).JPG,2211.6,1803.8,1777.3,181.1
835/7,264,38103,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (22).JPG,0.7815710294,-6.00,-1950,-1856,375,479,1333,139,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (22).JPG,2366.6,2531.5,1705.5,177.8
835/7,265,38104,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (25).JPG,0.7105191176,0.00,-1792,-1086,446,473,1231,173,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (25).JPG,2263.3,1529.3,1732.5,243.5
835/7,266,38105,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (26).JPG,0.7815710294,0.00,-541,-400,245,386,1350,295,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (26).JPG,397.5,549.6,1727.3,377.4
835/7,268,38107,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (26).JPG,0.7105191176,0.00,-1815,-1194,357,558,1347,118,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (26).JPG,2170.4,1800.9,1895.8,166.1
835/7,267,38106,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (27).JPG,0.6204743904,0.00,-806,-1290,212,509,1154,102,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (27).JPG,309.7,1901.1,1859.9,164.4
835/7,269,38108,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (32).JPG,0.6459264706,0.00,-1795,-1413,464,318,1166,130,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (32).JPG,2304.5,1785.3,1805.2,201.3
835/7,270,38109,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (37).JPG,0.5284852941,0.00,-839,-876,354,511,997,99,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (37).JPG,316.0,1168.4,1886.5,187.3
835/7,271,38110,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (60).JPG,0.7815710294,0.00,-1858,-1129,367,421,1405,136,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (60).JPG,2238.7,1527.1,1797.7,174.0
835/7,272,38111,E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (62).JPG,0.5338235294,0.00,-842,-1292,337,390,958,101,835_7/E 190_835_7 Southampton 25 Dec 1687 - 25 Dec 1688 (62).JPG,308.3,1725.7,1794.6,189.2
836/10,468,38322,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (3).JPG,0.6459264706,0.00,-635,-858,324,440,1156,109,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (3).JPG,291.9,1114.9,1789.7,168.7
836/10,469,38333,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (4).JPG,0.5872058824,0.00,-778,-1473,297,343,1053,163,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (4).JPG,301.0,1945.3,1793.2,277.6
836/10,470,38334,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (8).JPG,0.6459264706,0.00,-659,-1023,265,500,1171,111,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (8).JPG,237.7,1463.3,1812.9,171.8
836/10,471,38335,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (9).JPG,0.7284752734,0.00,-1752,-1471,363,536,1286,161,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (9).JPG,2092.3,2146.8,1765.3,221.0
836/10,472,38336,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (11).JPG,0.7105191176,0.00,-1604,-1563,497,464,1263,158,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (11).JPG,2070.4,2187.9,1777.6,222.4
836/10,473,38337,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (11).JPG,0.7105191176,0.00,-1592,-1684,497,464,1263,158,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (11).JPG,2053.6,2358.2,1777.6,222.4
836/10,474,38338,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (12).JPG,0.7815710294,0.00,-514,-1381,147,362,1429,198,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (12).JPG,237.6,1774.0,1828.4,253.3
836/10,475,38339,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (12).JPG,0.8726405301,0.00,-365,-1598,147,362,1564,134,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (12).JPG,269.1,2007.9,1792.3,153.6
836/10,476,38340,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (15).JPG,0.8597281324,0.00,-412,-1736,140,517,1542,133,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (15).JPG,287.0,2354.3,1793.6,154.7
836/10,477,38341,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (16).JPG,0.6459264706,-3.00,-578,-551,390,353,1099,155,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (16).JPG,305.8,504.9,1701.4,240.0
836/10,478,38342,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (16).JPG,0.6459264706,0.00,-1626,-1154,476,393,1151,106,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (16).JPG,2061.4,1500.4,1781.9,164.1
836/10,479,38343,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (16).JPG,0.6459264706,0.00,-1643,-1585,476,393,1151,106,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (16).JPG,2087.8,2167.7,1781.9,164.1
836/10,480,38344,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (16).JPG,0.6459264706,0.00,-1641,-1666,476,393,1151,106,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (16).JPG,2084.7,2293.1,1781.9,164.1
836/10,481,38345,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (16).JPG,0.6459264706,0.00,-1644,-1754,476,393,1151,106,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (16).JPG,2089.3,2429.3,1781.9,164.1
836/10,482,38346,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (17).JPG,0.6459264706,3.00,-1532,-1059,585,448,1131,111,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (17).JPG,2084.7,1438.5,1751.0,171.8
836/10,483,38347,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (17).JPG,0.8426195425,3.00,-1757,-1582,358,364,1449,137,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (17).JPG,2103.6,2004.6,1719.6,162.6
836/10,484,38348,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (18).JPG,0.6459264706,-3.00,-561,-1226,453,333,1136,126,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (18).JPG,377.0,1519.0,1758.7,195.1
836/10,485,38349,E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (28).JPG,0.8597281324,-180.00,-1991,-1668,271,616,1485,139,836_10/E 190_836_10 Southampton 24 Jun 1693 - 25 Dec 1693 (28).JPG,2276.0,2390.4,1727.3,161.7
836/2,273,38112,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (3).JPG,0.7105191176,-3.00,-1671,-1345,554,556,1182,129,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (3).JPG,2245.0,2010.6,1663.6,181.6
836/2,274,38113,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (5).JPG,0.6267418085,-3.00,-552,-901,581,288,1063,120,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (5).JPG,511.8,925.2,1696.1,191.5
836/2,275,38114,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (5).JPG,0.5872058824,3.00,-1720,-857,548,253,1070,108,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (5).JPG,2332.7,743.0,1822.2,183.9
836/2,276,38115,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (5).JPG,0.7068388293,3.00,-1746,-757,543,374,1270,126,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (5).JPG,2335.9,923.2,1796.7,178.3
836/2,277,38116,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (6).JPG,0.6459264706,0.00,-1524,-1326,637,506,1120,118,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (6).JPG,2152.8,1941.6,1733.9,182.7
836/2,278,38117,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (7).JPG,0.7105191176,0.00,-538,-737,388,298,1186,108,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (7).JPG,416.7,791.8,1669.2,152.0
836/2,279,38118,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (7).JPG,0.7105191176,0.00,-538,-737,393,391,1186,108,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (7).JPG,423.8,922.7,1669.2,152.0
836/2,280,38119,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (8).JPG,0.7815710294,0.00,-504,-398,355,472,1288,160,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (8).JPG,490.9,657.0,1648.0,204.7
836/2,281,38120,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (8).JPG,0.6459264706,0.00,-1721,-1342,424,285,1131,141,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (8).JPG,2128.0,1624.3,1751.0,218.3
836/2,282,38121,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (10).JPG,0.5872058824,0.00,-853,-1259,258,518,1005,131,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (10).JPG,362.3,1878.9,1711.5,223.1
836/2,283,38121,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (10).JPG,0.6459264706,0.00,-1662,-715,469,331,1160,124,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (10).JPG,2106.3,724.8,1795.9,192.0
836/2,284,38122,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (10).JPG,0.6459264706,0.00,-1662,-715,469,331,1160,124,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (10).JPG,2106.3,724.8,1795.9,192.0
836/2,285,38122,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (10).JPG,0.7583575883,0.00,-1726,-1743,371,246,1409,137,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (10).JPG,2071.8,2102.8,1858.0,180.7
836/2,286,38123,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (10).JPG,0.7583575883,0.00,-1726,-1743,371,246,1409,137,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (10).JPG,2071.8,2102.8,1858.0,180.7
836/2,287,38124,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (11).JPG,0.7105191176,0.00,-600,-1282,343,375,1207,127,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (11).JPG,440.6,1667.2,1698.8,178.7
836/2,288,38125,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (11).JPG,0.7105191176,0.00,-1803,-1550,380,214,1238,111,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (11).JPG,2185.9,1817.8,1742.4,156.2
836/2,289,38126,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (11).JPG,0.7105191176,0.00,-1803,-1550,387,328,1238,111,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (11).JPG,2195.7,1978.2,1742.4,156.2
836/2,290,38127,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (12).JPG,0.6459264706,0.00,-747,-954,299,411,1129,121,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (12).JPG,426.6,1218.6,1747.9,187.3
836/2,291,38128,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (12).JPG,0.6459264706,3.00,-1763,-801,439,295,1169,92,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (12).JPG,2216.3,802.2,1809.8,142.4
836/2,292,38129,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (12).JPG,0.6459264706,0.00,-1703,-1328,461,441,1183,134,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (12).JPG,2157.4,1844.1,1831.5,207.5
836/2,293,38130,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (13).JPG,0.7105191176,-3.00,-714,-695,292,272,1172,140,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (13).JPG,529.3,696.1,1649.5,197.0
836/2,294,38131,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (14).JPG,0.5872058824,0.00,-1604,-1198,564,372,1033,99,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (14).JPG,2162.4,1526.4,1759.2,168.6
836/2,295,38132,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (15).JPG,0.6459264706,0.00,-579,-1351,485,466,1093,122,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (15).JPG,454.4,1918.4,1692.1,188.9
836/2,296,38133,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (15).JPG,0.6459264706,0.00,-1703,-934,485,466,1093,122,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (15).JPG,2194.6,1272.8,1692.1,188.9
836/2,297,38134,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (16).JPG,0.5872058824,0.00,-813,-909,376,437,1014,122,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (16).JPG,495.2,1144.9,1726.8,207.8
836/2,298,38135,E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (25).JPG,0.4411764706,180.00,-1264,-998,902,221,788,227,836_2/E 190_836_2 Southampton 25 Dec 1691 - 24 Jun 1692 (25).JPG,2153.3,695.9,1786.1,514.5
836/3,871,38756,E 190_836_3 THE PORT OF SOUTHAMPTON. Port: Portsmouth Official: Customer and Controller Coastal. 25 Dec 1691 - 24 Jun 1692 IMG_0594.JPG,0.8426195425,-3.00,-1806,-1673,468,496,1272,130,836_3/E 190_836_3 THE PORT OF SOUTHAMPTON. Port: Portsmouth Official: Customer and Controller Coastal. 25 Dec 1691 - 24 Jun 1692 IMG_0594.JPG,2292.3,2269.3,1509.6,154.3
836/5,402,38238,E 190_836_5 Southampton 25 Dec 1692 - 24 Jun 1693 (3).JPG,0.7815710294,-3.00,-499,-713,401,511,1186,118,836_5/E 190_836_5 Southampton 25 Dec 1692 - 24 Jun 1693 (3).JPG,543.4,1110.0,1517.5,151.0
836/5,403,38239,E 190_836_5 Southampton 25 Dec 1692 - 24 Jun 1693 (4).JPG,0.9793945343,-3.00,-182,-496,328,219,1531,174,836_5/E 190_836_5 Southampton 25 Dec 1692 - 24 Jun 1693 (4).JPG,474.9,695.7,1563.2,177.7
836/5,404,38240,E 190_836_5 Southampton 25 Dec 1692 - 24 Jun 1693 (5).JPG,0.9330272547,0.00,-285,-1036,179,441,1635,160,836_5/E 190_836_5 Southampton 25 Dec 1692 - 24 Jun 1693 (5).JPG,341.1,1465.9,1752.4,171.5
836/5,405,38241,E 190_836_5 Southampton 25 Dec 1692 - 24 Jun 1693 (7).JPG,0.7815710294,0.00,-1759,-1105,327,393,1407,161,836_5/E 190_836_5 Southampton 25 Dec 1692 - 24 Jun 1693 (7).JPG,2060.8,1460.6,1800.2,206.0
836/5,406,38242,E 190_836_5 Southampton 25 Dec 1692 - 24 Jun 1693 (7).JPG,0.7815710294,0.00,-1680,-1691,411,312,1393,134,836_5/E 190_836_5 Southampton 25 Dec 1692 - 24 Jun 1693 (7).JPG,2067.2,2106.7,1782.3,171.4
